episodes 0 finish, rewards: -927
episodes 1 finish, rewards: -821
episodes 2 finish, rewards: -611
episodes 3 finish, rewards: -768
episodes 4 finish, rewards: -721
episodes 5 finish, rewards: -678
episodes 6 finish, rewards: -584
episodes 7 finish, rewards: -832
episodes 8 finish, rewards: -654
episodes 9 finish, rewards: -676
episodes 10 finish, rewards: -441
episodes 11 finish, rewards: -736
episodes 12 finish, rewards: -639
episodes 13 finish, rewards: -643
episodes 14 finish, rewards: -562
episodes 15 finish, rewards: -738
episodes 16 finish, rewards: -644
episodes 17 finish, rewards: -656
episodes 18 finish, rewards: -633
episodes 19 finish, rewards: -586
episodes 20 finish, rewards: -575
episodes 21 finish, rewards: -736
episodes 22 finish, rewards: -777
episodes 23 finish, rewards: -867
episodes 24 finish, rewards: -740
episodes 25 finish, rewards: -884
episodes 26 finish, rewards: -965
episodes 27 finish, rewards: -840
episodes 28 finish, rewards: -701
episodes 29 finish, rewards: -647
episodes 30 finish, rewards: -659
episodes 31 finish, rewards: -785
episodes 32 finish, rewards: -832
episodes 33 finish, rewards: -813
episodes 34 finish, rewards: -709
episodes 35 finish, rewards: -876
episodes 36 finish, rewards: -546
episodes 37 finish, rewards: -539
episodes 38 finish, rewards: -747
episodes 39 finish, rewards: -901
episodes 40 finish, rewards: -684
episodes 41 finish, rewards: -619
episodes 42 finish, rewards: -663
episodes 43 finish, rewards: -762
episodes 44 finish, rewards: -789
episodes 45 finish, rewards: -848
episodes 46 finish, rewards: -740
episodes 47 finish, rewards: -809
episodes 48 finish, rewards: -755
episodes 49 finish, rewards: -812
episodes 50 finish, rewards: -763
episodes 51 finish, rewards: -784
episodes 52 finish, rewards: -690
episodes 53 finish, rewards: -748
episodes 54 finish, rewards: -661
episodes 55 finish, rewards: -799
episodes 56 finish, rewards: -760
episodes 57 finish, rewards: -814
episodes 58 finish, rewards: -630
episodes 59 finish, rewards: -650
episodes 60 finish, rewards: -679
episodes 61 finish, rewards: -854
episodes 62 finish, rewards: -883
episodes 63 finish, rewards: -735
episodes 64 finish, rewards: -983
episodes 65 finish, rewards: -729
episodes 66 finish, rewards: -592
episodes 67 finish, rewards: -780
episodes 68 finish, rewards: -662
episodes 69 finish, rewards: -711
episodes 70 finish, rewards: -654
episodes 71 finish, rewards: -677
episodes 72 finish, rewards: -779
episodes 73 finish, rewards: -725
episodes 74 finish, rewards: -929
episodes 75 finish, rewards: -826
episodes 76 finish, rewards: -760
episodes 77 finish, rewards: -686
episodes 78 finish, rewards: -714
episodes 79 finish, rewards: -643
episodes 80 finish, rewards: -650
episodes 81 finish, rewards: -693
episodes 82 finish, rewards: -603
episodes 83 finish, rewards: -724
episodes 84 finish, rewards: -693
episodes 85 finish, rewards: -803
episodes 86 finish, rewards: -783
episodes 87 finish, rewards: -744
episodes 88 finish, rewards: -900
episodes 89 finish, rewards: -682
episodes 90 finish, rewards: -713
episodes 91 finish, rewards: -887
episodes 92 finish, rewards: -690
episodes 93 finish, rewards: -764
episodes 94 finish, rewards: -631
episodes 95 finish, rewards: -908
episodes 96 finish, rewards: -895
episodes 97 finish, rewards: -489
episodes 98 finish, rewards: -629
episodes 99 finish, rewards: -745
episodes 100 finish, rewards: -807
episodes 101 finish, rewards: -557
episodes 102 finish, rewards: -829
episodes 103 finish, rewards: -834
episodes 104 finish, rewards: -601
episodes 105 finish, rewards: -822
episodes 106 finish, rewards: -810
episodes 107 finish, rewards: -651
episodes 108 finish, rewards: -556
episodes 109 finish, rewards: -612
episodes 110 finish, rewards: -675
episodes 111 finish, rewards: -665
episodes 112 finish, rewards: -820
episodes 113 finish, rewards: -751
episodes 114 finish, rewards: -852
episodes 115 finish, rewards: -817
episodes 116 finish, rewards: -593
episodes 117 finish, rewards: -861
episodes 118 finish, rewards: -646
episodes 119 finish, rewards: -670
episodes 120 finish, rewards: -779
episodes 121 finish, rewards: -767
episodes 122 finish, rewards: -630
episodes 123 finish, rewards: -559
episodes 124 finish, rewards: -821
episodes 125 finish, rewards: -656
episodes 126 finish, rewards: -760
episodes 127 finish, rewards: -672
episodes 128 finish, rewards: -590
episodes 129 finish, rewards: -589
episodes 130 finish, rewards: -675
episodes 131 finish, rewards: -828
episodes 132 finish, rewards: -711
episodes 133 finish, rewards: -765
episodes 134 finish, rewards: -720
episodes 135 finish, rewards: -627
episodes 136 finish, rewards: -724
episodes 137 finish, rewards: -605
episodes 138 finish, rewards: -592
episodes 139 finish, rewards: -695
episodes 140 finish, rewards: -706
episodes 141 finish, rewards: -677
episodes 142 finish, rewards: -795
episodes 143 finish, rewards: -841
episodes 144 finish, rewards: -690
episodes 145 finish, rewards: -836
episodes 146 finish, rewards: -907
episodes 147 finish, rewards: -811
episodes 148 finish, rewards: -750
episodes 149 finish, rewards: -765
episodes 150 finish, rewards: -774
episodes 151 finish, rewards: -653
episodes 152 finish, rewards: -752
episodes 153 finish, rewards: -819
episodes 154 finish, rewards: -777
episodes 155 finish, rewards: -887
episodes 156 finish, rewards: -706
episodes 157 finish, rewards: -692
episodes 158 finish, rewards: -783
episodes 159 finish, rewards: -720
episodes 160 finish, rewards: -885
episodes 161 finish, rewards: -820
episodes 162 finish, rewards: -945
episodes 163 finish, rewards: -767
episodes 164 finish, rewards: -615
episodes 165 finish, rewards: -671
episodes 166 finish, rewards: -644
episodes 167 finish, rewards: -904
episodes 168 finish, rewards: -889
episodes 169 finish, rewards: -893
episodes 170 finish, rewards: -907
episodes 171 finish, rewards: -741
episodes 172 finish, rewards: -791
episodes 173 finish, rewards: -666
episodes 174 finish, rewards: -822
episodes 175 finish, rewards: -834
episodes 176 finish, rewards: -643
episodes 177 finish, rewards: -858
episodes 178 finish, rewards: -853
episodes 179 finish, rewards: -696
episodes 180 finish, rewards: -655
episodes 181 finish, rewards: -758
episodes 182 finish, rewards: -962
episodes 183 finish, rewards: -870
episodes 184 finish, rewards: -735
episodes 185 finish, rewards: -781
episodes 186 finish, rewards: -701
episodes 187 finish, rewards: -849
episodes 188 finish, rewards: -734
episodes 189 finish, rewards: -707
episodes 190 finish, rewards: -663
episodes 191 finish, rewards: -783
episodes 192 finish, rewards: -733
episodes 193 finish, rewards: -488
episodes 194 finish, rewards: -665
episodes 195 finish, rewards: -612
episodes 196 finish, rewards: -773
episodes 197 finish, rewards: -811
episodes 198 finish, rewards: -540
episodes 199 finish, rewards: -776
episodes 200 finish, rewards: -812
episodes 201 finish, rewards: -921
episodes 202 finish, rewards: -647
episodes 203 finish, rewards: -717
episodes 204 finish, rewards: -639
episodes 205 finish, rewards: -709
episodes 206 finish, rewards: -834
episodes 207 finish, rewards: -720
episodes 208 finish, rewards: -607
episodes 209 finish, rewards: -856
episodes 210 finish, rewards: -757
episodes 211 finish, rewards: -808
episodes 212 finish, rewards: -674
episodes 213 finish, rewards: -680
episodes 214 finish, rewards: -672
episodes 215 finish, rewards: -547
episodes 216 finish, rewards: -641
episodes 217 finish, rewards: -685
episodes 218 finish, rewards: -628
episodes 219 finish, rewards: -589
episodes 220 finish, rewards: -591
episodes 221 finish, rewards: -769
episodes 222 finish, rewards: -609
episodes 223 finish, rewards: -801
episodes 224 finish, rewards: -798
episodes 225 finish, rewards: -870
episodes 226 finish, rewards: -710
episodes 227 finish, rewards: -633
episodes 228 finish, rewards: -734
episodes 229 finish, rewards: -897
episodes 230 finish, rewards: -747
episodes 231 finish, rewards: -759
