episodes 0 finish, rewards: -964
episodes 1 finish, rewards: -864
episodes 2 finish, rewards: -800
episodes 3 finish, rewards: -824
episodes 4 finish, rewards: -787
episodes 5 finish, rewards: -618
episodes 6 finish, rewards: -730
episodes 7 finish, rewards: -795
episodes 8 finish, rewards: -595
episodes 9 finish, rewards: -724
episodes 10 finish, rewards: -669
episodes 11 finish, rewards: -765
episodes 12 finish, rewards: -695
episodes 13 finish, rewards: -795
episodes 14 finish, rewards: -809
episodes 15 finish, rewards: -784
episodes 16 finish, rewards: -839
episodes 17 finish, rewards: -841
episodes 18 finish, rewards: -642
episodes 19 finish, rewards: -860
episodes 20 finish, rewards: -685
episodes 21 finish, rewards: -855
episodes 22 finish, rewards: -869
episodes 23 finish, rewards: -763
episodes 24 finish, rewards: -812
episodes 25 finish, rewards: -825
episodes 26 finish, rewards: -644
episodes 27 finish, rewards: -776
episodes 28 finish, rewards: -825
episodes 29 finish, rewards: -792
episodes 30 finish, rewards: -805
episodes 31 finish, rewards: -943
episodes 32 finish, rewards: -804
episodes 33 finish, rewards: -693
episodes 34 finish, rewards: -828
episodes 35 finish, rewards: -750
episodes 36 finish, rewards: -815
episodes 37 finish, rewards: -738
episodes 38 finish, rewards: -894
episodes 39 finish, rewards: -870
episodes 40 finish, rewards: -847
episodes 41 finish, rewards: -777
episodes 42 finish, rewards: -910
episodes 43 finish, rewards: -916
episodes 44 finish, rewards: -870
episodes 45 finish, rewards: -883
episodes 46 finish, rewards: -845
episodes 47 finish, rewards: -770
episodes 48 finish, rewards: -840
episodes 49 finish, rewards: -780
episodes 50 finish, rewards: -761
episodes 51 finish, rewards: -735
episodes 52 finish, rewards: -897
episodes 53 finish, rewards: -687
episodes 54 finish, rewards: -780
episodes 55 finish, rewards: -885
episodes 56 finish, rewards: -870
episodes 57 finish, rewards: -583
episodes 58 finish, rewards: -819
episodes 59 finish, rewards: -752
episodes 60 finish, rewards: -830
episodes 61 finish, rewards: -775
episodes 62 finish, rewards: -690
episodes 63 finish, rewards: -945
episodes 64 finish, rewards: -809
episodes 65 finish, rewards: -758
episodes 66 finish, rewards: -928
episodes 67 finish, rewards: -813
episodes 68 finish, rewards: -923
episodes 69 finish, rewards: -840
episodes 70 finish, rewards: -632
episodes 71 finish, rewards: -686
episodes 72 finish, rewards: -828
episodes 73 finish, rewards: -950
episodes 74 finish, rewards: -885
episodes 75 finish, rewards: -852
episodes 76 finish, rewards: -964
episodes 77 finish, rewards: -825
episodes 78 finish, rewards: -889
episodes 79 finish, rewards: -773
episodes 80 finish, rewards: -761
episodes 81 finish, rewards: -715
episodes 82 finish, rewards: -635
episodes 83 finish, rewards: -743
episodes 84 finish, rewards: -782
episodes 85 finish, rewards: -869
episodes 86 finish, rewards: -772
episodes 87 finish, rewards: -945
episodes 88 finish, rewards: -707
episodes 89 finish, rewards: -652
episodes 90 finish, rewards: -728
episodes 91 finish, rewards: -837
episodes 92 finish, rewards: -905
episodes 93 finish, rewards: -714
episodes 94 finish, rewards: -752
episodes 95 finish, rewards: -849
episodes 96 finish, rewards: -735
episodes 97 finish, rewards: -840
episodes 98 finish, rewards: -834
episodes 99 finish, rewards: -654
episodes 100 finish, rewards: -797
episodes 101 finish, rewards: -711
episodes 102 finish, rewards: -787
episodes 103 finish, rewards: -682
episodes 104 finish, rewards: -744
episodes 105 finish, rewards: -873
episodes 106 finish, rewards: -796
episodes 107 finish, rewards: -809
episodes 108 finish, rewards: -995
episodes 109 finish, rewards: -739
episodes 110 finish, rewards: -894
episodes 111 finish, rewards: -880
episodes 111 finish, rewards: -870
