episodes 0 finish, rewards: -670
episodes 1 finish, rewards: -932
episodes 2 finish, rewards: -834
episodes 3 finish, rewards: -467
episodes 4 finish, rewards: -730
episodes 5 finish, rewards: -688
episodes 6 finish, rewards: -706
episodes 7 finish, rewards: -714
episodes 8 finish, rewards: -634
episodes 9 finish, rewards: -594
episodes 10 finish, rewards: -814
episodes 11 finish, rewards: -675
episodes 12 finish, rewards: -678
episodes 13 finish, rewards: -587
episodes 14 finish, rewards: -764
episodes 15 finish, rewards: -780
episodes 16 finish, rewards: -668
episodes 17 finish, rewards: -620
episodes 18 finish, rewards: -683
episodes 19 finish, rewards: -729
episodes 20 finish, rewards: -780
episodes 21 finish, rewards: -835
episodes 22 finish, rewards: -923
episodes 23 finish, rewards: -664
episodes 24 finish, rewards: -750
episodes 25 finish, rewards: -666
episodes 26 finish, rewards: -668
episodes 27 finish, rewards: -683
episodes 28 finish, rewards: -758
episodes 29 finish, rewards: -738
episodes 30 finish, rewards: -712
episodes 31 finish, rewards: -719
episodes 32 finish, rewards: -812
episodes 33 finish, rewards: -769
episodes 34 finish, rewards: -738
episodes 35 finish, rewards: -703
episodes 36 finish, rewards: -666
episodes 37 finish, rewards: -674
episodes 38 finish, rewards: -641
episodes 39 finish, rewards: -804
episodes 40 finish, rewards: -876
episodes 41 finish, rewards: -754
episodes 42 finish, rewards: -780
episodes 43 finish, rewards: -770
episodes 44 finish, rewards: -856
episodes 45 finish, rewards: -702
episodes 46 finish, rewards: -607
episodes 47 finish, rewards: -707
episodes 48 finish, rewards: -636
episodes 49 finish, rewards: -672
episodes 50 finish, rewards: -802
episodes 51 finish, rewards: -629
episodes 52 finish, rewards: -698
episodes 53 finish, rewards: -694
episodes 54 finish, rewards: -707
episodes 55 finish, rewards: -616
episodes 56 finish, rewards: -759
episodes 57 finish, rewards: -660
episodes 58 finish, rewards: -647
episodes 59 finish, rewards: -734
episodes 60 finish, rewards: -725
episodes 61 finish, rewards: -763
episodes 62 finish, rewards: -724
episodes 63 finish, rewards: -780
episodes 64 finish, rewards: -820
episodes 65 finish, rewards: -682
episodes 66 finish, rewards: -597
episodes 67 finish, rewards: -635
