episodes 0 finish, rewards: -620
episodes 1 finish, rewards: -745
episodes 2 finish, rewards: -779
episodes 3 finish, rewards: -789
episodes 4 finish, rewards: -805
episodes 5 finish, rewards: -894
episodes 6 finish, rewards: -748
episodes 7 finish, rewards: -784
episodes 8 finish, rewards: -793
episodes 9 finish, rewards: -850
episodes 10 finish, rewards: -760
episodes 11 finish, rewards: -800
episodes 12 finish, rewards: -515
episodes 13 finish, rewards: -782
episodes 14 finish, rewards: -822
episodes 15 finish, rewards: -630
episodes 16 finish, rewards: -751
episodes 17 finish, rewards: -808
episodes 18 finish, rewards: -910
episodes 19 finish, rewards: -653
episodes 20 finish, rewards: -792
episodes 21 finish, rewards: -695
episodes 22 finish, rewards: -730
episodes 23 finish, rewards: -689
episodes 24 finish, rewards: -835
episodes 25 finish, rewards: -787
episodes 26 finish, rewards: -760
episodes 27 finish, rewards: -703
episodes 28 finish, rewards: -810
episodes 29 finish, rewards: -661
episodes 30 finish, rewards: -894
episodes 30 finish, rewards: -864
episodes 31 finish, rewards: -810
episodes 32 finish, rewards: -862
episodes 33 finish, rewards: -675
episodes 34 finish, rewards: -920
episodes 35 finish, rewards: -798
episodes 36 finish, rewards: -740
episodes 37 finish, rewards: -845
episodes 38 finish, rewards: -896
episodes 39 finish, rewards: -972
episodes 40 finish, rewards: -691
episodes 41 finish, rewards: -785
episodes 42 finish, rewards: -690
episodes 43 finish, rewards: -790
episodes 44 finish, rewards: -668
episodes 45 finish, rewards: -802
episodes 46 finish, rewards: -743
episodes 47 finish, rewards: -699
episodes 48 finish, rewards: -695
episodes 49 finish, rewards: -742
episodes 50 finish, rewards: -789
episodes 51 finish, rewards: -849
episodes 52 finish, rewards: -704
episodes 53 finish, rewards: -710
episodes 54 finish, rewards: -679
episodes 55 finish, rewards: -705
episodes 56 finish, rewards: -669
episodes 57 finish, rewards: -845
episodes 58 finish, rewards: -771
episodes 59 finish, rewards: -949
episodes 60 finish, rewards: -832
episodes 61 finish, rewards: -905
episodes 62 finish, rewards: -875
episodes 63 finish, rewards: -734
episodes 64 finish, rewards: -785
episodes 65 finish, rewards: -725
episodes 66 finish, rewards: -640
episodes 67 finish, rewards: -771
episodes 68 finish, rewards: -917
