episodes 0 finish, rewards: -666
episodes 1 finish, rewards: -612
episodes 2 finish, rewards: -644
episodes 3 finish, rewards: -538
episodes 4 finish, rewards: -698
episodes 5 finish, rewards: -672
episodes 6 finish, rewards: -743
episodes 7 finish, rewards: -661
episodes 8 finish, rewards: -736
episodes 9 finish, rewards: -630
episodes 10 finish, rewards: -528
episodes 11 finish, rewards: -538
episodes 12 finish, rewards: -704
episodes 13 finish, rewards: -697
episodes 14 finish, rewards: -430
episodes 15 finish, rewards: -677
episodes 16 finish, rewards: -598
episodes 17 finish, rewards: -599
episodes 18 finish, rewards: -642
episodes 19 finish, rewards: -669
episodes 20 finish, rewards: -757
episodes 21 finish, rewards: -452
episodes 22 finish, rewards: -620
episodes 23 finish, rewards: -744
episodes 24 finish, rewards: -468
episodes 25 finish, rewards: -651
episodes 26 finish, rewards: -540
episodes 27 finish, rewards: -525
episodes 28 finish, rewards: -635
episodes 29 finish, rewards: -585
episodes 30 finish, rewards: -688
episodes 31 finish, rewards: -680
episodes 32 finish, rewards: -551
episodes 33 finish, rewards: -695
episodes 34 finish, rewards: -688
episodes 35 finish, rewards: -573
episodes 36 finish, rewards: -594
episodes 37 finish, rewards: -545
episodes 38 finish, rewards: -736
episodes 39 finish, rewards: -560
episodes 40 finish, rewards: -832
episodes 41 finish, rewards: -689
episodes 42 finish, rewards: -645
episodes 43 finish, rewards: -626
episodes 44 finish, rewards: -675
episodes 45 finish, rewards: -566
episodes 46 finish, rewards: -466
episodes 47 finish, rewards: -741
episodes 48 finish, rewards: -673
episodes 49 finish, rewards: -672
episodes 50 finish, rewards: -810
episodes 51 finish, rewards: -536
episodes 52 finish, rewards: -535
episodes 53 finish, rewards: -409
episodes 54 finish, rewards: -547
episodes 55 finish, rewards: -484
episodes 56 finish, rewards: -579
episodes 57 finish, rewards: -552
episodes 58 finish, rewards: -519
episodes 59 finish, rewards: -604
episodes 60 finish, rewards: -637
episodes 61 finish, rewards: -421
episodes 62 finish, rewards: -650
episodes 63 finish, rewards: -570
episodes 64 finish, rewards: -427
episodes 65 finish, rewards: -473
episodes 66 finish, rewards: -598
episodes 67 finish, rewards: -627
episodes 68 finish, rewards: -575
episodes 69 finish, rewards: -433
episodes 70 finish, rewards: -688
episodes 71 finish, rewards: -667
episodes 72 finish, rewards: -336
episodes 73 finish, rewards: -612
episodes 74 finish, rewards: -257
episodes 75 finish, rewards: -637
episodes 76 finish, rewards: -699
episodes 77 finish, rewards: -693
episodes 78 finish, rewards: -613
episodes 79 finish, rewards: -268
episodes 80 finish, rewards: -682
episodes 81 finish, rewards: -575
episodes 82 finish, rewards: -669
episodes 83 finish, rewards: -560
episodes 84 finish, rewards: -690
episodes 85 finish, rewards: -572
episodes 86 finish, rewards: -718
episodes 87 finish, rewards: -649
episodes 88 finish, rewards: -664
episodes 89 finish, rewards: -648
episodes 90 finish, rewards: -528
episodes 91 finish, rewards: -566
episodes 92 finish, rewards: -716
episodes 93 finish, rewards: -759
episodes 94 finish, rewards: -701
episodes 95 finish, rewards: -414
episodes 96 finish, rewards: -722
episodes 97 finish, rewards: -490
episodes 98 finish, rewards: -519
episodes 99 finish, rewards: -802
episodes 100 finish, rewards: -674
episodes 101 finish, rewards: -600
episodes 102 finish, rewards: -753
episodes 103 finish, rewards: -511
episodes 104 finish, rewards: -506
episodes 105 finish, rewards: -780
episodes 106 finish, rewards: -510
episodes 107 finish, rewards: -621
episodes 108 finish, rewards: -835
episodes 109 finish, rewards: -720
episodes 110 finish, rewards: -632
episodes 111 finish, rewards: -587
episodes 112 finish, rewards: -683
episodes 113 finish, rewards: -389
episodes 114 finish, rewards: -603
episodes 115 finish, rewards: -626
episodes 116 finish, rewards: -586
episodes 117 finish, rewards: -738
episodes 118 finish, rewards: -779
episodes 119 finish, rewards: -654
episodes 120 finish, rewards: -430
episodes 121 finish, rewards: -658
episodes 122 finish, rewards: -773
episodes 123 finish, rewards: -542
episodes 124 finish, rewards: -483
episodes 125 finish, rewards: -666
episodes 126 finish, rewards: -596
episodes 127 finish, rewards: -441
episodes 128 finish, rewards: -554
episodes 129 finish, rewards: -662
episodes 130 finish, rewards: -662
episodes 131 finish, rewards: -454
episodes 132 finish, rewards: -652
episodes 133 finish, rewards: -610
episodes 134 finish, rewards: -666
episodes 135 finish, rewards: -628
episodes 136 finish, rewards: -659
episodes 137 finish, rewards: -499
episodes 138 finish, rewards: -624
episodes 139 finish, rewards: -632
episodes 140 finish, rewards: -595
episodes 141 finish, rewards: -745
episodes 142 finish, rewards: -632
episodes 143 finish, rewards: -461
episodes 144 finish, rewards: -794
episodes 145 finish, rewards: -448
episodes 146 finish, rewards: -688
episodes 147 finish, rewards: -636
episodes 148 finish, rewards: -715
episodes 149 finish, rewards: -581
episodes 150 finish, rewards: -762
episodes 151 finish, rewards: -766
episodes 152 finish, rewards: -606
episodes 153 finish, rewards: -518
episodes 154 finish, rewards: -645
episodes 155 finish, rewards: -647
episodes 156 finish, rewards: -616
episodes 157 finish, rewards: -787
episodes 158 finish, rewards: -737
episodes 159 finish, rewards: -636
episodes 160 finish, rewards: -588
episodes 161 finish, rewards: -496
episodes 162 finish, rewards: -564
episodes 163 finish, rewards: -665
episodes 164 finish, rewards: -618
episodes 165 finish, rewards: -726
episodes 166 finish, rewards: -686
episodes 167 finish, rewards: -526
episodes 168 finish, rewards: -706
episodes 169 finish, rewards: -645
episodes 170 finish, rewards: -655
episodes 171 finish, rewards: -655
episodes 172 finish, rewards: -602
episodes 173 finish, rewards: -664
episodes 174 finish, rewards: -625
episodes 175 finish, rewards: -621
episodes 176 finish, rewards: -609
episodes 177 finish, rewards: -685
episodes 178 finish, rewards: -594
episodes 179 finish, rewards: -700
episodes 180 finish, rewards: -664
episodes 181 finish, rewards: -629
episodes 182 finish, rewards: -694
episodes 183 finish, rewards: -506
episodes 184 finish, rewards: -739
episodes 185 finish, rewards: -483
episodes 186 finish, rewards: -702
episodes 187 finish, rewards: -462
episodes 188 finish, rewards: -499
episodes 189 finish, rewards: -753
episodes 190 finish, rewards: -778
episodes 191 finish, rewards: -455
episodes 192 finish, rewards: -738
episodes 193 finish, rewards: -727
episodes 194 finish, rewards: -629
episodes 195 finish, rewards: -494
episodes 196 finish, rewards: -721
episodes 197 finish, rewards: -646
episodes 198 finish, rewards: -610
episodes 199 finish, rewards: -380
episodes 200 finish, rewards: -684
episodes 201 finish, rewards: -600
episodes 202 finish, rewards: -645
episodes 203 finish, rewards: -720
episodes 204 finish, rewards: -634
episodes 205 finish, rewards: -511
episodes 206 finish, rewards: -586
episodes 207 finish, rewards: -675
episodes 208 finish, rewards: -578
episodes 209 finish, rewards: -744
episodes 210 finish, rewards: -708
episodes 211 finish, rewards: -542
episodes 212 finish, rewards: -771
episodes 213 finish, rewards: -548
episodes 214 finish, rewards: -720
episodes 215 finish, rewards: -335
episodes 216 finish, rewards: -535
episodes 217 finish, rewards: -690
episodes 218 finish, rewards: -460
episodes 219 finish, rewards: -591
episodes 220 finish, rewards: -584
episodes 221 finish, rewards: -544
episodes 222 finish, rewards: -570
episodes 223 finish, rewards: -858
episodes 224 finish, rewards: -731
episodes 225 finish, rewards: -602
episodes 226 finish, rewards: -708
episodes 227 finish, rewards: -515
episodes 228 finish, rewards: -728
episodes 229 finish, rewards: -745
episodes 230 finish, rewards: -472
episodes 231 finish, rewards: -554
episodes 232 finish, rewards: -601
episodes 233 finish, rewards: -625
episodes 234 finish, rewards: -638
episodes 235 finish, rewards: -488
episodes 236 finish, rewards: -571
episodes 237 finish, rewards: -715
episodes 238 finish, rewards: -650
episodes 239 finish, rewards: -606
episodes 240 finish, rewards: -518
episodes 241 finish, rewards: -572
episodes 242 finish, rewards: -589
episodes 243 finish, rewards: -600
episodes 244 finish, rewards: -640
episodes 245 finish, rewards: -851
episodes 246 finish, rewards: -502
episodes 247 finish, rewards: -557
episodes 248 finish, rewards: -708
episodes 249 finish, rewards: -621
episodes 250 finish, rewards: -620
episodes 251 finish, rewards: -495
episodes 252 finish, rewards: -542
episodes 253 finish, rewards: -642
episodes 254 finish, rewards: -759
episodes 255 finish, rewards: -728
episodes 256 finish, rewards: -786
episodes 257 finish, rewards: -523
episodes 258 finish, rewards: -635
episodes 259 finish, rewards: -561
episodes 260 finish, rewards: -567
episodes 261 finish, rewards: -640
episodes 262 finish, rewards: -569
episodes 263 finish, rewards: -563
episodes 264 finish, rewards: -363
episodes 265 finish, rewards: -312
episodes 266 finish, rewards: -514
episodes 267 finish, rewards: -556
episodes 268 finish, rewards: -686
episodes 269 finish, rewards: -590
episodes 270 finish, rewards: -700
episodes 271 finish, rewards: -696
episodes 272 finish, rewards: -529
episodes 273 finish, rewards: -741
episodes 274 finish, rewards: -564
episodes 275 finish, rewards: -649
episodes 276 finish, rewards: -584
episodes 277 finish, rewards: -647
episodes 278 finish, rewards: -534
episodes 279 finish, rewards: -563
episodes 280 finish, rewards: -665
episodes 281 finish, rewards: -554
episodes 282 finish, rewards: -634
episodes 283 finish, rewards: -706
episodes 284 finish, rewards: -603
episodes 285 finish, rewards: -587
episodes 286 finish, rewards: -643
episodes 287 finish, rewards: -722
episodes 288 finish, rewards: -742
episodes 289 finish, rewards: -794
episodes 290 finish, rewards: -543
episodes 291 finish, rewards: -602
episodes 292 finish, rewards: -516
episodes 293 finish, rewards: -420
episodes 294 finish, rewards: -711
episodes 295 finish, rewards: -589
episodes 296 finish, rewards: -683
episodes 297 finish, rewards: -479
episodes 298 finish, rewards: -488
episodes 299 finish, rewards: -822
